Sample,Unit Name,Lithology,Depth_m,d13c_org,d13c_carb,,,,Delta_delta,d18o_carb,,TC%,TIC%,TOC%,H/C
Sat531,Guojiaba Fm.,black shale,154.1,-35.8,,,,,,,,5.3,5,0.2,0.4
Sat530,Guojiaba Fm.,black shale,131.5,-31.1,0.6,,,,31.7,-13.2,,,1.2,,0.3
Sat529,Guojiaba Fm.,black shale,124.5,-30.4,,,,,,,,2.9,2.3,0.6,
Sat528,Guojiaba Fm.,black shale,118.5,-30.1,,,,,,,,2.9,2.5,0.4,1
Sat527,Guojiaba Fm.,black shale,113.5,-31.3,0.1,,,,31.3,-12,,,2,,
Sat526,Guojiaba Fm.,black shale,109,-30.9,,,,,,,,,,,
Sat525,Guojiaba Fm.,black shale,102.4,-31.1,0.4,,,,31.5,-11.8,,2.5,1.9,0.6,
Sat524,Guojiaba Fm.,black shale,99.4,-30.5,,,,,,,,1.8,1.1,0.7,1
Sat523,Guojiaba Fm.,black shale,93.5,-31.5,,,,,,,,2.9,2.1,0.8,
Sat522,Guojiaba Fm.,black shale,90,-31.4,,,,,,,,2.2,1.6,0.6,
Sat521,Guojiaba Fm.,black shale,86.1,-31.3,-0.5,,,,30.8,-13.1,,2.5,1.6,0.9,1.1
Sat520,Guojiaba Fm.,black shale,80.8,-31.4,-0.6,,,,30.8,-13.5,,2.9,2.1,0.8,
Sat519,Guojiaba Fm.,black shale,76.5,-31.2,,,,,,,,2.7,1.6,1.1,0.5
Sat518,Guojiaba Fm.,black shale,70.7,-31.7,-1.4,,,,30.3,-12.5,,2.3,1,1.3,
Sat517,Guojiaba Fm.,black shale,67.1,-32.1,,,,,,,,3,1.4,1.6,
Sat516,Guojiaba Fm.,black shale,61.5,-33.9,-2.5,,,,31.4,-12.7,,2.1,0.3,1.7,0.8
Sat515,Guojiaba Fm.,black shale,56.3,-34.2,,,,,,,,2.7,0.8,1.9,
Sat514,Guojiaba Fm.,black shale,53.5,-33.7,,,,,,,,,,,0.8
Sat513,Guojiaba Fm.,black shale,50.9,-34.6,,,,,,,,3.3,0.2,3.2,
Sat512,Guojiaba Fm.,black shale,46.4,-34,-2.4,,,,31.6,-12.6,,4.4,0.5,3.9,
Sat511,Guojiaba Fm.,black shale,42.4,-33.8,,,,,,,,3.6,0.4,3.2,0.8
Sat510,Guojiaba Fm.,black shale,38.4,-34,-2.4,,,,31.6,-12.7,,4.7,0.7,4.1,
Sat509,Guojiaba Fm.,black shale,36.4,-34.2,,,,,,,,3.4,0.3,3.1,
Sat508,Guojiaba Fm.,black shale,34,-34.3,-2.9,,,,31.4,-11.8,,3.7,0.4,3.4,0.6
Sat507,Guojiaba Fm.,black shale,32,-34.3,-2.9,,,,31.4,-12.2,,4,0.3,3.7,
Sat506,Guojiaba Fm.,black shale,30,-34.1,,,,,,,,4.9,0,4.9,
Sat505,Guojiaba Fm.,black shale,28.7,-34.5,-1.7,,,,32.9,-10.4,,4.9,0.7,4.2,0.7
Sat504,Guojiaba Fm.,black shale,27.6,-34.8,-2.4,,,,32.4,-10.5,,3.5,0.3,3.1,
Sat503,Guojiaba Fm.,black shale,26.8,-35.1,-2.7,,,,32.4,-9.9,,2.8,0.3,2.6,0.9
Sat502,Guojiaba Fm.,black shale,25.8,-34.8,-2.5,,,,32.3,-10.2,,1.1,0.3,0.9,
Sat501,Guojiaba Fm.,black shale,25.25,-35,,,,,,,,,,,
Sat500,Guojiaba Fm.,black shale,25.05,-34,-3.5,,,,30.5,-12.6,,,,,0.5
Sat533,Dengying Fm.,limestone,24.55,-34.8,-0.9,,,,33.9,-12.7,,12.4,11.7,0.7,
Sat534,Dengying Fm.,limestone,23.55,-35.3,-1,,,,34.3,-11.3,,14.7,11.3,3.4,
Sat535,Dengying Fm.,limestone,21.95,-35.5,-1.6,,,,34,-8.2,,,,,0.4
Sat536,Dengying Fm.,dolostone,20.45,-34.1,-1.4,,,,32.7,-6.7,,12.1,12.1,0,0.4
Sat537,Dengying Fm.,dolostone,18.85,,-0.7,,,,,-8.9,,12.8,12.3,0.5,
Sat538,Dengying Fm.,dolostone,18.65,-35.6,-1,,,,34.6,-9.5,,,,,0.4
Sat539,Dengying Fm.,dolostone,17.85,,-2.3,,,,,-8.6,,13,12.5,0.5,
Sat540,Dengying Fm.,dolostone,16.05,,0.1,,,,,-6.4,,13.1,12.8,0.4,
Sat541,Dengying Fm.,dolostone,13.65,,0.6,,,,,-6.1,,9.9,9.4,0.5,
Sat542,Dengying Fm.,dolostone,10.85,,-0.4,,,,,-4.4,,13,12.7,0.3,
Sat543,Dengying Fm.,dolostone,9.35,,-0.3,,,,,-4.5,,9,8.7,0.3,
Sat544,Dengying Fm.,dolostone,7.05,,0,,,,,-4.8,,8.9,8.5,0.3,
Sat545,Dengying Fm.,dolostone,3.3,,0,,,,,-4.9,,11.3,10.9,0.4,
Sat546,Dengying Fm.,dolostone,0,,0,,,,,-4.9,,7.2,7.2,0,
Wen528,Doushantuo Fm.,P-dolostone,47.67,-29,-0.2,,,28.8,-5.2,,,2.29,2.13,0.15,0.8
Wen527,Doushantuo Fm.,P-dolostone,46.97,-29.2,2.3,,,31.5,-1.3,,,9.48,9.34,0.14,0.7
Wen526,Doushantuo Fm.,P-dolostone,46.17,,2.6,,,,-1.2,,,,,,
Wen529,Doushantuo Fm.,P-dolostone,43.67,-32.3,2.1,,,34.3,-1.6,,,7.3,6.85,0.45,0.5
Wen530,Doushantuo Fm.,P-dolostone,41.67,-30.4,0.6,,,30.9,-3,,,5.33,4.93,0.41,0.9
Wen531,Doushantuo Fm.,P-dolostone,39.97,-31.3,-3.2,,,28.1,-11.4,,,0.36,0.42,,0.5
Wen532,Doushantuo Fm.,P-dolostone,38.97,-31.4,-3.4,,,28,-10.6,,,0.46,0.42,0.04,
Wen533,Doushantuo Fm.,chert,37.47,,,,,,,,,,,,
Wen534,Doushantuo Fm.,dolostone,36.67,-28.9,3.6,,,32.5,-1.3,,,11.07,10.69,0.38,0.6
Wen525,Doushantuo Fm.,chert,22.07,-32,-0.4,,,31.6,-4.3,,,2.87,2.42,0.45,
Wen524,Doushantuo Fm.,dolostone,21.67,-25.8,-1.2,,,24.6,-3.7,,,11.54,11.27,0.27,0.7
Wen523,Doushantuo Fm.,dolostone,21.37,-26.2,-1,,,25.2,-4.4,,,,,,0.8
Wen522-1,Doushantuo Fm.,chert,20.97,-26.5,-1.4,,,25.1,-4.7,,,2.57,2.31,0.26,
Wen522,Doushantuo Fm.,chert,20.59,-25.5,-1.1,,,24.4,-4.8,,,4.82,4.48,0.34,
Wen521,Doushantuo Fm.,chert,20.29,-25.1,-1.5,,,23.6,-6.8,,,0.63,0.47,0.16,
Wen520,Doushantuo Fm.,chert,19.47,-24.5,-0.1,,,24.4,-3.9,,,3.49,3.2,0.29,
Wen519,Doushantuo Fm.,chert,17.15,-30.5,-3.5,,,27,-10.1,,,0.47,0.49,,0.6
Wen518,Doushantuo Fm.,chert,16.75,,-0.7,,,,-4.1,,,,,,
Wen516,Doushantuo Fm.,Mn-dolostone,15.95,-27.8,-2.8,,,25,-7.2,,,,,,1.1
Wen515,Doushantuo Fm.,dolostone,10.65,,-1.3,,,,-5.1,,,,,,
Wen514,Doushantuo Fm.,Mn-dolostone,9.9,-26.5,-2.1,,,24.5,-5.4,,,10.98,9.68,1.3,1.8
Wen513,Doushantuo Fm.,cap dolostone,6.2,,-2.6,,,,-7.2,,,,,,
Wen512-1,Doushantuo Fm.,mudstone,5.2,,,,,,,,,,,,
Wen512,Doushantuo Fm.,mudstone,5.1,-25.5,-4.9,,,20.6,-13.8,,,0.07,0.01,0.07,
Wen511,Doushantuo Fm.,mudstone,5,,-2.3,,,,-2.3,,,0.05,0,0.04,
Wen510,Doushantuo Fm.,cherty dolostone,4.8,-27,-2.3,,,24.7,-6,,,11.08,10.88,0.2,1.5
Wen508,Doushantuo Fm.,cap dolostone,4,,-2,,,,-5.6,,,,,,
Wen507,Doushantuo Fm.,cap dolostone,3.45,-26.3,-2.3,,,24.1,-4.6,,,11.14,10.82,0.32,1.5
Wen504-1,Nantuo Fm.,black shale,2,-34.3,,,,,,,,0.25,0.01,0.24,
Wen504,Nantuo Fm.,black shale,1,-35.6,,,,,,,,0.37,0.01,0.37,
Wen501,Nantuo Fm.,black shale,0.07,,,,,,,,,0.31,0,0.31,1.8
Sample,Unit Name,Lithology,Depth,δ13Corg,δ13C δ18carb,,Δδ,Ocarb,,TC,TIC,TOC,,,
Son580,Jiumenchong Fm.,black Shale,104.25,-30.5,,,,,,3.53,0.004,3.52,,,
Son579,Jiumenchong Fm.,black Shale,103.55,-31.3,,,,,,3.81,0.73,3.08,,,
Son578,Jiumenchong Fm.,limestone,102.9,-29.4,0.5,,29.9,-12.4,,11.46,11.29,0.17,,,
Son577,Jiumenchong Fm.,limestone,102.05,-29.9,0.1,,30,-13,,11.7,10.21,1.49,,,
Son576,Jiumenchong Fm.,limestone,101.25,-29.3,2.2,,31.5,-12.1,,10.51,11.2,0,,,
Son575,Jiumenchong Fm.,limestone,100.25,-30,0.5,,30.5,-12.1,,9.71,8.09,1.62,,,
Son574,Jiumenchong Fm.,limestone,99.05,-30,2.3,,32.3,-11.4,,11.65,11.33,0.33,,,
Son573,Jiumenchong Fm.,limestone,97.6,-30.5,0.8,,31.3,-10.5,,7.49,4.1,3.39,,,
Son572,Jiumenchong Fm.,limestone,96.4,-29.6,-1.6,,28,-11.7,,2.8,2.33,0.47,,,
Son571,Jiumenchong Fm.,limestone,95.2,-29.6,-0.2,,29.4,-11.2,,9.74,8.82,0.93,,,
Son570,Jiumenchong Fm.,muddy limestone,93.7,-28.4,-0.2,,28.2,-11.7,,9.09,8.92,0.17,,,
Son569,Jiumenchong Fm.,muddy limestone,92.7,-29.6,-0.6,,29,-11.7,,1.6,1.23,0.37,,,
Son568,Jiumenchong Fm.,muddy limestone,90.4,-29.7,0,,29.7,-11.7,,8.09,8.04,0.05,,,
Son567,Jiumenchong Fm.,limestone,88.8,-29.8,0.9,,30.7,-11.6,,7.24,5.02,2.23,,,
Son566,Jiumenchong Fm.,muddy limestone,88.2,-29.8,1.2,,31,-11.6,,6.87,5.31,1.56,,,
Son565,Jiumenchong Fm.,muddy limestone,87.2,-28.5,0.6,,29.1,-11.1,,4.88,4.64,0.24,,,
Son564,Jiumenchong Fm.,limestone,84.45,-28.7,0.8,,29.5,-11.3,,10.44,10.29,0.14,,,
Son563,Jiumenchong Fm.,black Shale,78.95,-32.6,,,,,,2.28,0.003,2.28,,,
Son562,Jiumenchong Fm.,black Shale,76.35,-32.7,,,,,,1.83,0.002,1.83,,,
Son561,Jiumenchong Fm.,black Shale,74.35,-32.5,,,,,,4.2,0.007,,,,
Son560,Jiumenchong Fm.,black Shale,72.05,-32.5,,,,,,4.51,0.006,4.5,,,
Son559,Jiumenchong Fm.,black Shale,69.05,-32.4,,,,,,6,0.008,,,,
Son558,Jiumenchong Fm.,black Shale,65.55,-32.3,,,,,,8.53,0.002,8.53,,,
Son557,Jiumenchong Fm.,black Shale,61.55,-32.5,,,,,,10.11,0.006,10.11,,,
Son556,Jiumenchong Fm.,black Shale,57.55,-32.6,,,,,,13.78,0.004,13.78,,,
Son555,Jiumenchong Fm.,black Shale,56.55,-32.7,,,,,,10.28,0.003,10.28,,,
Son554,Jiumenchong Fm.,black Shale,55.45,-32.5,,,,,,13.53,0.002,13.53,,,
Son553,Jiumenchong Fm.,black Shale,52.45,-32.5,,,,,,,,N10,,,
Son552,Jiumenchong Fm.,black Shale,51.35,-32.4,,,,,,,,N10,,,
Son551,Jiumenchong Fm.,black Shale,50.15,-32.4,,,,,,,,N10,,,
Son550,Jiumenchong Fm.,black Shale,48.05,-32.4,,,,,,,,N10,,,
Son549,Jiumenchong Fm.,black Shale,46.05,-32.6,,,,,,,,N10,,,
Son548,Jiumenchong Fm.,black Shale,44.85,-32.7,,,,,,,,N10,,,
Son547,Jiumenchong Fm.,black Shale,43.25,-33.3,,,,,,,,N10,,,
Son546,Jiumenchong Fm.,black Shale,41.55,-33.3,,,,,,,,N10,,,
Son545,Jiumenchong Fm.,black Shale,40.1,-33.3,,,,,,,,N10,,,
Son544,Jiumenchong Fm.,black Shale,39.1,-33.4,,,,,,,,N10,,,
Son543-1,Jiumenchong Fm.,phosphorite nodule,38.7,-33.6,,,,,,,,,,,
Son543-2,Jiumenchong Fm.,chert,38.6,-33.7,,,,,,,,,,,
Son543,Jiumenchong Fm.,phosphorite nodule,38.5,-33.5,,,,,,6.97,0.15,6.83,,,
Son522,Liuchapo Fm.,chert,38.3,-34.9,,,,,,,,,,,
Son523,Liuchapo Fm.,chert,37.3,-34.7,,,,,,1.19,0.05,1.14,,,
Son524,Liuchapo Fm.,chert,36.3,-34.7,,,,,,,,,,,
Son525,Liuchapo Fm.,chert,35.3,-34.3,,,,,,,,,,,
Son526,Liuchapo Fm.,chert,34.3,-34.1,,,,,,,,2.24,,,
Son527,Liuchapo Fm.,chert,33.3,-34.3,,,,,,,,2.91,,,
Son528,Liuchapo Fm.,chert,31.7,-34.3,,,,,,,,0.86,,,
Son529,Liuchapo Fm.,chert,29.9,-35.2,,,,,,,,0.81,,,
Son530,Liuchapo Fm.,chert,28.2,-34.5,,,,,,,,13.21,,,
Son531,Liuchapo Fm.,cherty mudstone,27.6,-34.4,,,,,,,,11.64,,,
Son532,Liuchapo Fm.,cherty mudstone,26,-34.3,,,,,,,,3.83,,,
Son509,Doushantuo Fm.,carbonate,25,-34.8,-8.2,,26.6,-11.9,,11.63,11.44,0.19,,,
Son510,Doushantuo Fm.,chert,23.6,-31.7,,,,,,5.48,0.002,5.48,,,
Son511,Doushantuo Fm.,cherty shale,22.5,-29.5,,,,,,10.44,0.002,10.43,,,
Son512,Doushantuo Fm.,black shale,21.5,,,,,,,13.09,0.039,13.06,,,
Son513,Doushantuo Fm.,black shale,20.5,-34.6,,,,,,11.48,8.77,2.71,,,
Sample,Unit Name,Lithology,Depth,δ13Corg,δ13C carb,,,Δδ,δ 18,Ocarb,,TC,TIC,TOC,
,,,[m],"[‰, VPDB]","[‰, VPDB]",,,"[‰, VPDB]","[‰, VPDB]",,,[%],[%],[%],
Son514,Doushantuo Fm.,black shale,19.5,-34.8,,,,,,,,4.55,0.01,4.54,
Son515,Doushantuo Fm.,carbonate,14.5,-34.9,,,,,,,,12.05,10.84,1.21,
Son516,Doushantuo Fm.,carbonate,13.3,,-9.3,,,,-12.5,,,11.05,10.98,0.07,
Son517,Doushantuo Fm.,carbonate,12.3,-35.7,-7.4,,,28.3,-7.5,,,10.45,9.16,1.29,
Son518,Doushantuo Fm.,carbonate,11.4,,-9.2,,,,-12.6,,,10.87,10.83,0.03,
Son519,Doushantuo Fm.,carbonate,9.6,,-9.1,,,,-12.6,,,11.02,10.98,0.04,
Son520,Doushantuo Fm.,cap carbonate,8.3,,-7.9,,,,-10.6,,,10.56,10.57,0,
Son521,Doushantuo Fm.,cap carbonate,7,,-9,,,,-13.1,,,10.7,,,
,Nantuo Fm.,diamictite,0,,,,,,,,,,,,
Sample,Unit Name,Lithology,Depth,δ13C δ18org,δ13C carb,,Δδ,Ocarb,,TC,TIC,TOC,,,
,,,[m],"[‰, VPDB]","[‰, VPDB]",,"[‰, VPDB]","[‰, VPDB]",,[%],[%],[%],,,
Ljt593,Xiaoyanxi Fm.,black shale,236.1,-32.6,,,,,,10.09,0.0004,10.09,,,
Ljt592,Xiaoyanxi Fm.,black shale,228.3,-33.4,,,,,,3.87,0.0001,3.87,,,
Ljt591,Xiaoyanxi Fm.,black shale,224.2,-33.5,,,,,,6.93,0.0013,6.93,,,
Ljt590,Xiaoyanxi Fm.,black shale,217.1,-33.6,,,,,,4.17,0.0004,4.17,,,
Ljt589,Xiaoyanxi Fm.,black shale,212.1,-33.4,,,,,,6.09,0.0002,6.09,,,
Ljt588,Xiaoyanxi Fm.,black shale,209.4,-33.3,,,,,,7,0.0018,6.99,,,
Ljt587,Xiaoyanxi Fm.,black shale,205.7,-33.3,,,,,,7.13,0.0048,7.12,,,
Ljt586,Xiaoyanxi Fm.,black shale,203,-33.1,,,,,,14.32,0.0018,14.32,,,
Ljt585,Xiaoyanxi Fm.,black shale,199.7,-33.2,,,,,,15.4,0.0007,15.4,,,
Ljt584,Xiaoyanxi Fm.,black shale,196.6,-33.4,,,,,,13.13,0.0012,13.13,,,
Ljt583,Xiaoyanxi Fm.,black shale,193.4,-33.4,,,,,,11.37,0.0005,11.37,,,
Ljt582,Xiaoyanxi Fm.,black shale,190.1,-33.2,,,,,,11.48,0.0013,11.48,,,
Ljt581,Xiaoyanxi Fm.,black shale,187,-33.9,,,,,,7.47,0.0006,7.47,,,
Ljt580,Xiaoyanxi Fm.,black shale,183.5,-34,,,,,,7.26,0.0002,7.25,,,
