Stratigraphic unit,,Lithology,"!13C carb",,"!18 O",,"! 13",Corg,,"! 13",C,,TOC [%],H/C atomic,Fe [ppm],Mn [ppm] Sr [ppm],,Mn/Sr
No. horizon [m],,,"[VPDB, ‰]",,"[VPDB, ‰]",,"[VPBD, ‰]",,,"[VPBD, ‰]",,,,,,,,
Doushantuo Fm.,,,,,,,,,,,,,,,,,,
YJP3,121.1,Mic. Limes.,8.0,,−8.4,,−24.3,,,32.3,,,0.54,0.4,290,60 830,,0.07
YJP4,121.7,Mic. Limes.,7.1,,−8.6,,−23.8,,,31.0,,,0.19,2.3,250,40 1490,,0.03
YJP5,122.7,Mic. Limes.,4.4,,−7.0,,−25.0,,,29.4,,,0.38,3.6,1040,110 3840,,0.03
YJP6,123.9,Mic. Dolos.,6.0,,−4.9,,−25.4,,,31.4,,,0.73,3.2,870,90 370,,0.25
YJP7,125.4,Mic. Dolos.,5.4,,−6.0,,−23.2,,,28.6,,,0.15,37,1980,100 440,,0.24
YJP8,126.9,Mic. Dolos.,5.3,,−5.3,,−23.7,,,29.0,,,0.19,24,2300,110 420,,0.25
YJP9,136.5,Mic. Dolos.,5.4,,−6.1,,−23.9,,,29.3,,,0.36,32,2060,80 680,,0.12
YJP10,146.5,Mic. Dolos.,5.1,,−6.4,,−24.6,,,29.7,,,0.79,6.7,3670,110 980,,0.11
YJP11,149.5,Mic. Dolos.,4.9,,−7.1,,−24.4,,,29.4,,,0.83,3.4,1940,70 910,,0.08
YJP12,153.0,Mic. Dolos.,4.9,,−6.4,,−24.5,,,29.4,,,0.90,5.8,3080,100 750,,0.13
YJP13,156.0,Mic. Dolos.,4.8,,−4.8,,−24.4,,,29.2,,,0.43,20,2690,110 660,,0.16
YJP14,158.5,Mic. Dolos.,5.1,,−6.2,,−24.3,,,29.4,,,0.74,6.3,3440,110 910,,0.12
YJP15,165.0,Mic. Dolos.,4.7,,−7.3,,−25.1,,,29.8,,,–,–,1770,80 1480,,0.05
YJP16,169.5,Mic. Limes.,4.5,,−7.7,,−23.4,,,27.9,,,0.34,2.5,480,70 940,,0.07
YJP17,173.5,Limestone,6.1,,−8.2,,−22.9,,,29.1,,,0.11,2.2,260,30 650,,0.05
YJP18,176.5,Limestone,6.5,,−8.1,,−21.0,,,27.5,,,0.05,1.2,210,30 990,,0.03
YJP19,178.5,Limestone,6.6,,−8.0,,−20.3,,,26.9,,,0.09,–,230,30 620,,0.05
YJP20,180.5,Limestone,7.1,,−7.2,,−19.8,,,26.8,,,0.16,1.2,180,30 960,,0.03
YJP21,183.5,Limestone,7.1,,−7.2,,−22.6,,,29.8,,,0.36,0.3,310,30 1000,,0.03
YJP22,185.5,Limestone,6.8,,−6.9,,−19.8,,,26.5,,,0.10,1.2,230,20 990,,0.02
YJP23,189.0,Limestone,6.6,,−7.1,,−22.1,,,28.7,,,0.13,–,230,20 3860,,0.01
YJP24,192.0,Mic. Dolos.,6.9,,−6.1,,−8.3,,,15.2,,,1.44,3.0,620,50 330,,0.16
YJP25,194.0,Limestone,6.7,,−7.1,,−20.8,,,27.5,,,0.14,0.9,340,30 1480,,0.02
YJP26,198.0,Limestone,6.3,,−7.0,,−20.7,,,27.0,,,0.11,–,210,20 2440,,0.01
YJP27,200.0,Limestone,6.8,,−6.8,,−20.9,,,27.6,,,0.09,–,250,30 900,,0.03
YJP28,202.0,Limestone,6.7,,−6.9,,−20.6,,,27.3,,,0.12,1.0,280,30 1010,,0.03
YJP29,204.5,Limestone,6.7,,−7.1,,−22.2,,,28.8,,,0.11,1.1,290,30 1730,,0.01
YJP30,207.0,Limestone,6.5,,−7.3,,−20.2,,,26.8,,,0.09,–,310,20 1680,,0.01
YJP31,209.5,Limestone,6.5,,−6.8,,−20.2,,,26.7,,,0.12,–,290,30 1640,,0.01
YJP32,212.0,Limestone,6.2,,−7.0,,−21.2,,,27.4,,,0.13,1.8,270,30 960,,0.03
YJP33,215.0,Limestone,6.6,,−6.5,,−21.1,,,27.7,,,0.14,2.7,370,30 790,,0.04
YJP34,218.5,Limestone,7.3,,−6.8,,−21.4,,,28.8,,,0.15,0.8,130,20 980,,0.02
YJP35,221.5,Limestone,7.1,,−6.5,,−21.0,,,28.0,,,0.09,1.3,140,10 1510,,0.01
YJP36,225.0,Limestone,6.4,,−7.0,,−22.0,,,28.5,,,0.15,2.0,110,10 420,,0.03
YJP37,228.0,Limestone,7.5,,−7.1,,−21.9,,,29.3,,,0.08,1.5,120,10 650,,0.01
YJP38,231.0,Limestone,7.1,,−7.3,,−20.9,,,28.0,,,0.10,1.2,100,10 580,,0.02
YJP39,234.0,Limestone,5.8,,−7.4,,−21.9,,,27.7,,,0.06,–,110,10 750,,0.02
YJP40,237.0,Limestone,1.8,,−7.6,,−23.5,,,25.3,,,0.08,0.8,150,30 1070,,0.03
YJP41,246.0,Mic. Dolos.,4.3,,−3.8,,−25.0,,,29.3,,,0.24,31,1820,100 630,,0.16
YJP42,248.5,Limestone,4.9,,−7.2,,−23.4,,,28.3,,,0.09,2.7,440,50 960,,0.06
YJP43,250.5,Limestone,3.2,,−6.6,,−25.0,,,28.2,,,0.17,10,730,80 460,,0.17
YJP44,263.5,Mic.Dolos.,5.0,,−7.0,,−25.3,,,30.3,,,0.19,0.6,620,80 290,,0.26
YJP45,271.0,Dolostone,−2.1,,−6.6,,−23.7,,,21.7,,,0.06,–,70,20 130,,0.18
YJP46,275.0,Mic. Dolos.,−4.0,,−3.7,,−28.0,,,24.1,,,0.49,0.7,580,100 230,,0.43
YJP47,286.0,Mic. Dolos.,2.0,,−2.8,,−26.7,,,28.7,,,0.48,7.5,540,110 260,,0.41
YJP48,289.7,Dolostone,−1.4,,−6.6,,−24.0,,,22.6,,,0.05,2.4,120,70 290,,0.23
YJP49,294.7,Phosphate,−1.4,,−6.6,,−26.4,,,25.0,,,0.11,1.1,60,50 310,,0.15
YJP50,299.7,Phosphate,−5.8,,−6.7,,−26.5,,,20.7,,,0.10,2.4,50,40 460,,0.09
YJP51,304.5,Phosphate,0.6,,−4.7,,−20.3,,,20.9,,,0.33,2.0,70,80 210,,0.37
YJP52,306.5,Phosphate,−1.5,,−5.2,,−26.9,,,25.4,,,0.11,1.3,80,90 240,,0.36
YJP53,309.0,Phosphate,−0.5,,−5.1,,−26.8,,,26.3,,,0.17,3.2,60,60 210,,0.29
YJP54,314.8,Phosphate,−1.9,,−6.8,,−26.5,,,24.6,,,0.26,2.5,20,20 240,,0.1
YJP55,317.8,Dolostone,2.3,,−7.1,,−25.7,,,28.1,,,0.12,1.5,50,50 180,,0.28
YJP56,321.6,Dolostone,−2.9,,−8.9,,−24.8,,,21.9,,,0.05,2.4,50,20 550,,0.04
YJP57,324.6,Dolostone,−6.0,,−5.0,,−25.7,,,19.7,,,0.05,–,60,60 220,,0.28
YJP58,328.6,Calc. chert,−0.1,,−7.5,,−27.6,,,27.5,,,0.61,0.4,50,40 270,,0.01
YJP59,333.5,Dolostone,−2.9,,−8.4,,−27.8,,,24.9,,,0.07,1.7,80,90 420,,0.21
YJP60,337.0,Dolostone,−3.4,,−6.8,,−23.4,,,20.0,,,0.08,–,40,40 300,,0.12
YJP61,339.6,Calc. chert,1.2,,−7.6,,−22.1,,,23.3,,,0.67,–,70,20 90,,0.19
YJP62,341.4,Dolostone,−2.4,,−6.0,,−27.2,,,24.8,,,0.03,4.0,60,30 450,,0.07
YJP63,342.4,Dolostone,−6.1,,−5.5,,−27.5,,,21.5,,,0.06,2.0,140,50 290,,0.2
YJP64,344.3,Mic. Dolos.,−1.0,,−5.3,,−28.2,,,27.2,,,0.15,2.4,70,50 170,,0.3
YJP65,349.9,Mic. Dolos.,5.7,,−4.5,,−25.8,,,31.5,,,0.28,2.1,180,30 190,,0.2
YJP66,353.2,Mic. Dolos.,3.5,,−4.8,,−24.5,,,28.0,,,0.05,2.4,170,50 260,,0.2
YJP67,357.2,Limestone,−13.8,,−7.7,,−28.8,,,15.0,,,0.02,6.0,60,20 410,,0.04
Dengying Fm.,,,,,,,,,,,,,,,,,,
YJP68,360.2,Dolostone,6.3,,−6.8,,−28.4,,,34.7,,,0.01,12,60,20 110,,0.2
YJP69,363.2,Dolostone,7.4,,−5.2,,−24.2,,,31.6,,,0.05,2.4,60,20 110,,0.2
YJP70,364.9,Dolostone,7.0,,−5.0,,−24.5,,,31.4,,,–,–,50,20 90,,0.2
YJP71,367.4,Dolostone,4.0,,−7.0,,−27.7,,,31.7,,,0.01,12,50,40 220,,0.2
YJP72,369.8,Dolostone,4.0,,−5.3,,−24.3,,,28.3,,,0.02,–,70,20 110,,0.2
YJP73,371.8,Mic. Dolos.,4.3,,−3.3,,−21.0,,,25.3,,,0.02,6.0,110,40 430,,0.1
YJP73.5,372.6,Mic. Limes.,7.4,,−7.7,,−21.6,,,29.0,,,0.01,12,160,50 100,,0.5
YJP74,373.7,Mic. Dolos.,4.1,,−3.9,,−22.5,,,,26.6,,,0.05,50,70,20,80,0.3
YJP75,374.6,Mic. Dolos.,4.6,,−4.1,,−23.7,,,,28.3,,,0.06,4.0,70,20,60,0.4
YJP76,376.0,Dolostone,5.0,,−4.9,,−23.2,,,,28.2,,,0.05,1.2,60,20,50,0.4
YJP77,377.4,Mic. Dolos.,5.2,,−3.7,,−21.6,,,,26.8,,,0.33,11,30,30,80,0.4
YJP78,379.2,Mic. Dolos.,3.8,,−4.1,,−24.2,,,,28.1,,,0.09,29,80,30,60,0.6
YJP79,385.0,Mic. Dolos.,6.1,,−3.5,,−21.3,,,,27.4,,,0.15,10,70,30,50,0.6
YJP80,388.8,Mic. Dolos.,4.3,,−3.8,,−21.6,,,,25.9,,,0.25,15,60,30,40,0.7
YJP81,394.1,Mic. Dolos.,3.2,,−3.8,,−21.3,,,,24.5,,,0.20,14,380,50,60,0.9
YJP82,397.4,Mic. Dolos.,3.1,,−3.4,,−22.0,,,,25.1,,,0.19,29,410,40,50,0.8
YJP83,401.0,Mic. Dolos.,3.8,,−3.3,,−21.0,,,,24.8,,,0.13,29,460,40,50,0.7
YJP101,116.9,Mic. Dolos.,5.7,,−3.3,,−25.1,,,,30.8,,,0.79,10,1030,190,370,0.5
YJP102,104.0,Mic. Dolos.,5.7,,−4.3,,−24.5,,,,30.2,,,0.46,11,4640,450,350,1.3
YJP103,94.0,Mic. Dolos.,6.0,,−3.6,,−24.4,,,,30.4,,,0.55,22,2840,310,400,0.8
YJP104,92.0,Mic. Dolos.,5.7,,−4.8,,−25.4,,,,31.0,,,0.82,5.2,4200,420,420,1.0
YJP105,87.0,Mic. Limes.,4.6,,−8.4,,−24.2,,,,28.9,,,0.10,28,1570,140,2140,0.1
YJP106,83.5,Mic. Limes.,5.1,,−8.6,,−24.3,,,,29.4,,,0.34,9.3,1310,190,930,0.2
YJP107,81.5,Mic. Limes.,5.1,,−7.5,,−24.6,,,,29.8,,,0.39,13,1270,150,740,0.2
YJP108,72.5,Mic. Dolos.,4.9,,−5.8,,−22.9,,,,27.8,,,0.11,50,3970,310,370,0.8
YJP109,60.5,Mic. Limes.,4.6,−12.5,,,−25.8,,,,30.4,,,0.70,1.2,1340,490,540,0.9
YJP110,57.5,Mic. Limes.,3.2,−11.5,,,−26.1,,,,29.3,,,0.52,8.0,5950,1950,410,4.8
YJP111,45.5,Calc. nodule −0.5,,−10.7,,,−25.7,,,,25.2,,,0.16,31,6600,1420,990,1.4
YJP112,30.0,Siltstone,–,,–,,−29.0,,,,–,,,0.09,40,3090,30,–,–
YJP113,19.0,Siltstone,–,,–,,−27.4,,,,–,,,0.10,47,1590,60,10,4.6
YJP114,13.0,Black shale,–,,–,,−31.9,,,,–,,,2.65,2.1,1610,60,10,5.1
YJP115,1.9,Dolostone −4.3,,,−8.5,,−28.7,,,,24.4,,,0.11,2.3,6320,4120,170,24
YJP116,1.5,Dolostone −5.2,,,−8.7,,−29.2,,,,24.0,,,0.14,2.6,6170,3910,170,23
ntuo Fm.,,,,,,,,,,,,,,,,,,,
YJP117,−0.1,Calc. Congl. −4.6,,−12.9,,,−25.4,,,,20.8,,,0.04,92,2180,800,100,8.3
YJP118,−1.5,Calc. Congl. −4.1,,−12.4,,,−25.6,,,,21.6,,,0.07,94,1570,1020,70,14
ngying Fm.,,,,,,,,,,,,,,,,,,,
YJP201,404.2,Dolostone,2.3,,−6.2,,−31.1,,,,33.4,,,0.01,–,310,70,30,2.1
YJP202,407.2,Dolostone,2.0,,−7.1,,−29.2,,,,31.3,,,0.04,–,320,90,80,1.2
YJP203,409.2,Mic. Dolos.,2.3,,−6.9,,−22.9,,,,25.3,,,0.01,–,240,90,50,1.7
YJP204,422.3,Mic. Dolos.,1.2,,−6.7,,−24.9,,,,26.0,,,0.01,–,370,90,50,1.8
YJP205,425.3,Dolostone,1.1,,−8.1,,−25.1,,,,26.2,,,0.04,–,450,110,50,2.4
YJP206,406.3,Mic. Dolos.,2.2,,−6.2,,−24.3,,,,26.5,,,0.03,–,330,90,30,2.8
YJP207,407.8,Mic. Dolos.,2.5,,−5.7,,−24.9,,,,27.4,,,0.01,–,260,70,40,1.9
YJP208,410.3,Dolostone,2.1,,−6.7,,−22.9,,,,25.0,,,0.01,–,310,80,30,2.4
YJP209,412.3,Dolostone,2.1,,−6.6,,−25.6,,,,27.7,,,0.02,–,210,60,30,1.9
YJP210,413.6,Dolostone,2.0,,−6.6,,−23.9,,,,25.9,,,0.01,–,190,70,30,2.4
ratigraphic unit,,Lithology,"!13C carb",,"! 18 O",,,,"! 13",Corg,,"! 13",,C,TOC [%],Fe [ppm],Mn [ppm],Sr [ppm],Mn
". horizon [m]",,,"[VPDB, ‰]",,"[VPDB, ‰]",,,,"[VPBD, ‰]",,,"[VPBD, ‰]",,,,,,,
ngying Fm.,,,,,,,,,,,,,,,,,,,
YJP211,416.3,Calc. chert,0.4,,−6.8,,,,−24.9a,,,25.3,,,0.03,120,20,30,0.7
YJP212,419.5,Calc. chert,−1.0,,−8.3,,,,−32.4a,,,31.5,,,0.02,130,20,20,1.0
YJP213,422.3,Mic. Dolos.,1.0,,−6.9,,,,−25.2,,,26.1,,,0.02,300,90,40,2.3
YJP214,423.3,Calc. chert,1.0,,−4.2,,,,−27.1a,,,28.1,,,0.02,180,30,10,1.9
YJP215,425.1,Dolostone,1.4,,−6.2,,,,−26.9,,,28.3,,,0.01,190,80,50,1.6
YJP216,426.7,Dolostone,1.9,,−2.1,,,,−25.5,,,27.4,,,0.01,440,160,70,2.4
YJP217,429.1,Dolostone,1.0,,−6.6,,,,−24.0a,,,25.1,,,0.02,330,80,50,1.6
YJP218,430.1,Mic. Dolos.,1.3,,−4.5,,,,−23.2,,,24.5,,,0.01,580,140,50,3.2
YJP219,432.1,Mic. Dolos.,4.1,,−4.4,,,,−25.1,,,29.2,,,0.01,1250,140,40,3.4
YJP220,440.6,Dolostone,2.5,,−7.0,,,,−24.8a,,,27.3,,,0.02,270,60,30,2.4
YJP222,445.0,Mic. Dolos.,2.1,,−0.5,,,,−26.4,,,28.5,,,0.01,1100,180,40,4.6
YJP223,447.0,Mic. Dolos.,1.8,,−1.2,,,,−28.6,,,30.5,,,0.02,1150,130,50,2.8
YJP224,449.0,Mic. Dolos.,1.6,,−2.9,,,,−25.9,,,27.5,,,0.01,400,120,70,1.7
YJP225,450.7,Dolostone,0.9,,−3.7,,,,−27.9,,,28.8,,,0.01,750,150,110,1.5
YJP226,457.5,Mic. Dolos.,−2.0,,−5.9,,,,−31.4,,,29.4,,,0.05,1290,260,80,3.4
YJP227,459.8,Dolostone,−1.8,,−6.3,,,,−27.3,,,25.5,,,0.03,70,40,60,0.7
YJP228,460.5,Mic. Dolos.,−0.8,,−4.2,,,,−25.8,,,24.9,,,0.02,610,230,70,3.5
YJP229,464.4,Mic. Dolos.,−1.1,,−5.0,,,,−30.3,,,29.3,,,0.03,340,140,70,1.9
YJP230,467.7,Black shale,–,,–,,,,−32.3,,,–,,,1.46,–,–,–,–
YJP231,467.9,Mic. Dolos.,−1.8,,−5.8,,,,−29.7,,,27.9,,,0.06,310,130,90,1.5
YJP232,469.3,Mic. Dolos.,−4.0,,−4.0,,,,−30.3,,,26.2,,,0.03,150,130,160,0.8
uchang Fm.,,,,,,,,,,,,,,,,,,,
YJP233,470.8,Black shale,–,,–,,,,−31.9,,,–,,,0.61,130,10,20,0.8
YJP234,476.0,Black shale,–,,–,,,,−32.1,,,–,,,5.49,–,–,–,–
YJP235,478.0,Black shale,–,,–,,,,−32.4,,,–,,,1.10,–,–,–,–
YJP236,481.5,Black shale,–,,–,,,,−32.2,,,–,,,1.13,–,–,–,–
YJP237,487.1,Black shale,–,,–,,,,−32.0,,,–,,,0.33,–,–,–,–
ushantuo Fm.,,,,,,,,,,,,,,,,,,,
YJP238,0.2,Dolostone,−3.2,,−7.3,,,,−28.2,,,25.1,,,0.06,1970,2560,240,11
YJP239,0.4,Dolostone,−4.0,,−8.3,,,,−28.6,,,24.6,,,0.05,2990,4270,210,21
YJP240,0.6,Dolostone,−3.6,−8.0,−28.8,25.2,0.06,3990,3410,220,16
YJP241,0.8,Dolostone,−3.8,−8.3,−29.8,26.0,0.06,2490,2990,200,15
YJP242,1.0,Dolostone,−4.1,−8.6,−23.8,19.7,0.01,3840,3880,220,18
YJP243,2.0,Dolostone,−4.7,−9.2,−23.8a,19.1,0.01,4740,4220,240,17
YJP244,3.0,Dolostone,−4.9,−8.6,−27.0,22.1,0.01,8620,4220,220,20
YJP245,4.0,Black shale,−,−,−28.8,–,0.15,4490,70,–,–
YJP246,6.0,Mic. Dolos.,−5.2,−9.4,−30.3,25.1,0.05,10800,5080,240,21
YJP247,8.4,Black shale,–,–,−32.0,–,1.07,–,–,–,–
YJP248,11.4,Black shale,–,–,−31.7,–,0.81,–,–,–,–
YJP249,14.6,Black shale,–,–,−27.8,–,0.07,730,20,10,1.1
YJP250,16.8,Black shale,–,–,−28.8,–,4.12,4240,6650,20,320
YJP251,18.9,Black shale,–,–,−30.3,–,0.11,7130,5500,170,32
YJP252,21.0,Black shale,–,–,−28.4,–,0.09,4490,130,–,–
YJP253,23.2,Black shale,−5.5,−14.1,−24.5,19.0,0.05,5080,13300,240,56
YJP254,31.2,Black shale,–,–,−26.6,–,0.04,5380,80,–,–
YJP255,34.6,Mic. Dolos.,−4.0,−8.2,−29.1,25.1,0.12,–,–,–,–
YJP256,39.6,Black shale,–,–,−26.9a,–,0.07,6130,250,40,7.0
YJP257,42.6,Black shale,–,–,−28.7,–,0.12,4490,120,10,8.2
YJP258,45.6,Black shale,–,–,−29.2,–,0.13,15000,160,–,–
YJP259,49.6,Limestone,1.7,−12.7,−25.5,27.2,3.64,5880,5500,800,6.9
YJP260,51.6,Limestone,6.8,−8.4,−21.3,28.1,0.04,140,40,860,0.1
YJP261,54.6,Mic. Limes.,5.9,−11.7,,,,580,300,490,0.6
YJP262,56.6,Mic. Limes.,7.4,−10.9,,,,280,120,940,0.1
